DATAFLOW,LAST UPDATE,freq,dairyprod,milkitem,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BE,2021,4361.00,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BE,2022,4497.00,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BG,1987,2045.00,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BG,1988,2061.00,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BG,1989,2051.00,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BG,1990,1989.00,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BG,1991,1473.00,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BG,1992,1266.00,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BG,1993,866.00,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BG,1994,658.00,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BG,1995,495.00,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BG,1996,471.00,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BG,1997,386.00,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BG,1998,422.00,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BG,1999,429.00,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BG,2000,792.00,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BG,2001,751.00,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BG,2002,803.80,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BG,2003,869.00,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BG,2004,843.70,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BG,2005,849.50,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BG,2006,884.00,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BG,2007,805.58,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BG,2008,739.70,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BG,2009,655.00,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BG,2010,601.00,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BG,2011,580.00,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BG,2012,549.00,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BG,2013,545.00,
